`,`,data_type,primary_key ,foreign_key ,permited_values,business_rules 
Clients,client_id,UUID ,YES ,,Unique number not  null ,Primary key; generated automatically; cannot be changed.
Clients,full_name,VARCHAR (150),,,1-150 characters ,Required the client’s legal full name.
Clients,document_id,UUID ,,,UUID or NULL,Only keep if it is an FK to a separate identity-document record; otherwise rename it to identity_number and use VARCHAR(50).
Clients,phone,VARCHAR (100),,,"example:  +971501234567, or NULLber null if exist  ","Must start with +; maximum 15 digits; no spaces, dashes, brackets, or leading zero."
Clients,email,VARCHAR (150),,, valid email adress or NULL,Convert to lowercase; should be unique where provided.
Clients,prefered_channel,VARCHAR (100),,,"whatsapp, phone, email",Required if contact details exist; must be a usable channel for that client.
Clients,created_at,DATE,,,Valid date ,Required; set automatically when the client is created.
Clients,status,VARCHAR (100),,,"former_client, trial_customer, loyal_customer, potential_lead, active_client, lost, churned ",Default is active; blocked clients cannot open a new matter.
,,,,,,
Matters ,matter_id,UUID ,YES ,,UUID or NULL,Primary key; generated automatically.
Matters ,client_id,UUID ,,Clients. clients_id,Existing Clients.client_id,Required FK; every matter belongs to one existing client.
Matters ,consultation_id,UUID ,,,Existing Consultations.consultation_id or NULL,Optional FK; use only if the matter began through a consultation.
Matters ,matter_type,VARCHAR (100),,,"labor, family, immigration, real estate, criminal, consultation, contract review, comercial, administrativa, civil",Required; select one legal practice area.
Matters ,origin_channel,VARCHAR (100),,,"whatsapp, phone, email",Required; records how the matter first came to the firm.
Matters ,oppened_at ,DATE,,,Valid date ,Required; set when the matter is opened. Correct spelling: opened_at.
Matters ,current_stage,VARCHAR (100),,,"awaiting response, approved, rejected, under review, under investigation, in process, pending, finilized, delayed",Required; default is intake.
Matters ,responsible_lawyer_id,UUID ,,users. User_id,"Existing Users.user_id with role lawyer, or NULL",Optional during intake; required once a lawyer is assigned.
Matters ,total_fee_agreed,"DECIMAL (12,2)",,,Decimal value >= 0.00 or NULL,Use only if you want to record the consultation price in the matter; otherwise this belongs only in Consultations.
Matters ,contract_signed,BOOLEAN,,,"true, false",Default is false; cannot be true before the client agrees to the fees.alse; cannot be true before the client agrees to the fees.
Matters ,power_of_attorney_signed ,BOOLEAN,,,"true, false",Default is false; required only when a power of attorney applies.se; required only when a power of attorney applies.
Matters ,documents_complete,BOOLEAN,,,"true, false",Set to true only when every required document has been received.
Matters ,closed_at,DATE ,,,Valid date or NULL,Required when current_stage is closed; otherwise leave blank.
Matters ,outcome,VARCHAR (100),,,"office_declined, ongoing, completed, accepted, cancelled, settled, client_withdraw, resolved, in_progress, lost_case",Default is pending; final outcome is required when the matter is closed.
,,,,,,
Inquiries,inquiry_id,UUID ,,,"UUID, not null",Primary key; generated automatically.
Inquiries,client_id,UUID ,,clients. clients_id,Existing Clients.client_id or NULL,Optional for a new or anonymous lead; fill it after identifying the client.
Inquiries,origin_channel,VARCHAR (100),,,"Whatsapp, phone, email ",Required; records where the inquiry arrived.
Inquiries,menu_option,VARCHAR (100),,,"completed, approved, cancelled, on hold, pending, under review, schedule, rejected, in progress",records the option selected in the WhatsApp/intake menu.
Inquiries,received_at,DATE ,,,valid date ,Required; set when the inquiry arrives.
Inquiries,is_working_hours,BOOLEAN,,,"true, false",Calculated using the firm’s working-hours schedule; do not enter manually.
Inquiries,assistant_id,UUID ,,users. assistant_id,"Existing Users.user_id with role assistant, or NULL",Records the assistant who handled the inquiry.
Inquiries,first_response_at,DATE ,,,Valid date or NULL,Filled in when the first response is sent.
Inquiries,response_delay_minutes,NUMERIC ,,,Whole number >= 0 or NULL,Calculated from received_at and first_response_at; no manual entry.
Inquiries,outcome ,VARCHAR (150),,,"cancelled, pending, delayed, on hold, rejected, in progress, approved, under review, schedule",Default is open.
,,,,,,
